"Razyyn AI","Razyyn IA"
"New Chat","Nouvelle discussion"
"Connected:","Connecté :"
"Click to view Agent Settings","Cliquez pour voir les paramètres de l'agent"
"Settings","Paramètres"
"Type your financial question or query here...","Tapez votre question ou requête financière ici..."
"Send Message","Envoyer le message"
"Connected successfully!","Connexion réussie !"
"An error occurred during execution.","Une erreur s'est produite pendant l'exécution."
"Failed","Échoué"
"Cancelled","Annulé"
"Thinking...","Réflexion en cours..."
"Thought for","A réfléchi pendant"
"Worked for","A travaillé pendant"
"Completed","Terminé"
"Connecting...","Connexion en cours..."
"Creating Account...","Création du compte..."
"Login","Connexion"
"Sign Up","S'inscrire"
"Company Name","Nom de l'entreprise"
"Email Address","Adresse e-mail"
"Password","Mot de passe"
"Connect","Se connecter"
"Create Account","Créer un compte"
"Agent Settings","Paramètres de l'agent"
"Manage your Razyyn connection and account settings.","Gérez votre connexion Razyyn et les paramètres de votre compte."
"Log Out","Se déconnecter"
"Disconnect the agent temporarily.","Déconnecter temporairement l'agent."
"Delete Account","Supprimer le compte"
"Permanently delete your account.","Supprimer définitivement votre compte."
"Logging out...","Déconnexion en cours..."
"Logged out successfully!","Déconnexion réussie !"
"Are you sure you want to permanently delete your agent account?","Êtes-vous sûr de vouloir supprimer définitivement votre compte agent ?"
"Deleting account...","Suppression du compte..."
"Account deleted successfully!","Compte supprimé avec succès !"
"Agent Settings record not found.","Enregistrement des paramètres de l'agent introuvable."
"Auto","Auto"
"General Q&A","Questions-réponses générales"
"Analyse Agent","Agent d'analyse"
"Audit Agent","Agent d'audit"
"Reconciliation Agent","Agent de rapprochement"
"Creator Agent","Agent créateur"
"I'll read your question and bring in the right specialist.","Je vais lire votre question et faire appel au bon spécialiste."
"Quick accounting questions and document look-ups.","Questions comptables rapides et recherches de documents."
"In-depth analysis. Max 5 files (10 MB total, Excel up to 20 MB).","Analyse approfondie. Max 5 fichiers (10 Mo au total, Excel jusqu'à 20 Mo)."
"Compliance & Audit. Max 5 files (15 MB total, Excel up to 20 MB).","Conformité et audit. Max 5 fichiers (15 Mo au total, Excel jusqu'à 20 Mo)."
"Match two or more sources and explain every difference. Max 8 files (20 MB total, Excel up to 40 MB).","Comparez deux sources ou plus et expliquez chaque écart. Max 8 fichiers (20 Mo au total, Excel jusqu'à 40 Mo)."
"Prepare and record entries in your ERP. Every document is saved as a draft for your approval. Max 3 files (10 MB total, Excel up to 20 MB).","Préparez et enregistrez des écritures dans votre ERP. Chaque document est enregistré comme brouillon pour votre validation. Max 3 fichiers (10 Mo au total, Excel jusqu'à 20 Mo)."
"Understanding question & reviewing context...","Compréhension de la question et analyse du contexte..."
"Retrieving data from ERPNext / Excel files...","Récupération des données depuis ERPNext / fichiers Excel..."
"Profiling and cleaning raw data...","Profilage et nettoyage des données brutes..."
"Analyzing chunk data...","Analyse des segments de données..."
"Generating final business report & Mermaid charts...","Génération du rapport final et des diagrammes Mermaid..."
"Querying ERPNext SQL database...","Interrogation de la base de données SQL ERPNext..."
"Reading DocType schema...","Lecture du schéma du DocType..."
"Searching web for information...","Recherche d'informations sur le web..."
"Performing calculations...","Exécution des calculs..."
"Reading attached document...","Lecture du document joint..."
"Reading sheets from Excel file...","Lecture des feuilles du fichier Excel..."
"Querying Excel sheet data...","Interrogation des données de la feuille Excel..."
"Working on it...","Travail en cours..."
"Checking agent connection...","Vérification de la connexion de l'agent..."
"Processing...","Traitement en cours..."
"Compare bank statements and ledger entries to find any discrepancies.","Comparez les relevés bancaires et les écritures comptables pour détecter tout écart."
"Reconcile bank entries","Rapprocher les écritures bancaires"
"Provide a complete summary of our cash flow status and highlight any liquidity risks.","Fournissez un résumé complet de notre trésorerie et signalez tout risque de liquidité."
"Analyze Cash Flow","Analyser la trésorerie"
"Run an audit check on all expenses from the past 30 days and flag any policy violations.","Effectuez un audit de toutes les dépenses des 30 derniers jours et signalez toute violation de politique."
"Audit recent expenses","Auditer les dépenses récentes"
"Can you list all outstanding invoices that are overdue and calculate the total amount?","Pouvez-vous lister toutes les factures impayées en retard et calculer le montant total ?"
"Overdue Invoices","Factures en retard"
"Toggle Theme","Basculer le thème"
"Welcome to Razyyn","Bienvenue sur Razyyn"
"Select your agent mode (Ask, Analyse, or Audit) and upload financial documents or ask questions directly.","Sélectionnez votre mode d'agent (Demander, Analyser ou Auditer) et téléversez des documents financiers ou posez vos questions directement."
